Designator,Footprint,Quantity,Value,LCSC Part #
"BOARD_0-C1, BOARD_0-C2, BOARD_1-C1, BOARD_1-C2, BOARD_10-C1, BOARD_10-C9, BOARD_11-C1, BOARD_11-C2, BOARD_12-C1, BOARD_12-C2, BOARD_13-C1, BOARD_13-C9, BOARD_15-C1, BOARD_15-C2, BOARD_16-C1, BOARD_16-C2, BOARD_17-C1, BOARD_17-C9, BOARD_19-C1, BOARD_19-C2, BOARD_2-C1, BOARD_2-C9, BOARD_20-C1, BOARD_20-C2, BOARD_21-C1, BOARD_21-C9, BOARD_4-C1, BOARD_4-C2, BOARD_5-C1, BOARD_5-C2, BOARD_6-C1, BOARD_6-C9, BOARD_8-C1, BOARD_8-C2, BOARD_9-C1, BOARD_9-C2",0603,36,100nF 50V X7R,C14663
"BOARD_0-R1, BOARD_0-R4, BOARD_0-R7, BOARD_1-R1, BOARD_11-R1, BOARD_11-R4, BOARD_11-R7, BOARD_12-R1, BOARD_14-R1, BOARD_15-R1, BOARD_15-R4, BOARD_15-R7, BOARD_16-R1, BOARD_18-R1, BOARD_19-R1, BOARD_19-R4, BOARD_19-R7, BOARD_20-R1, BOARD_3-R1, BOARD_4-R1, BOARD_4-R4, BOARD_4-R7, BOARD_5-R1, BOARD_7-R1, BOARD_8-R1, BOARD_8-R4, BOARD_8-R7, BOARD_9-R1",0603,28,100k,C25803
"BOARD_0-R2, BOARD_0-R6, BOARD_1-R2, BOARD_10-R13, BOARD_10-R9, BOARD_11-R2, BOARD_11-R6, BOARD_12-R2, BOARD_13-R13, BOARD_13-R9, BOARD_15-R2, BOARD_15-R6, BOARD_16-R2, BOARD_17-R13, BOARD_17-R9, BOARD_19-R2, BOARD_19-R6, BOARD_2-R13, BOARD_2-R9, BOARD_20-R2, BOARD_21-R13, BOARD_21-R9, BOARD_4-R2, BOARD_4-R6, BOARD_5-R2, BOARD_6-R13, BOARD_6-R9, BOARD_8-R2, BOARD_8-R6, BOARD_9-R2",0603,30,1k,C21190
"BOARD_0-U1, BOARD_1-U1, BOARD_11-U1, BOARD_12-U1, BOARD_15-U1, BOARD_16-U1, BOARD_19-U1, BOARD_20-U1, BOARD_4-U1, BOARD_5-U1, BOARD_8-U1, BOARD_9-U1",SOT-363_SC-70-6,12,SN74LVC1T45DCK,C9382
"BOARD_1-R5, BOARD_12-R5, BOARD_16-R5, BOARD_20-R5, BOARD_5-R5, BOARD_9-R5",0603,6,2k2,C4190
"BOARD_1-R6, BOARD_10-R1, BOARD_12-R6, BOARD_13-R1, BOARD_16-R6, BOARD_17-R1, BOARD_2-R1, BOARD_20-R6, BOARD_21-R1, BOARD_5-R6, BOARD_6-R1, BOARD_9-R6",0603,12,10k,C25804
"BOARD_10-C5, BOARD_13-C5, BOARD_17-C5, BOARD_2-C5, BOARD_21-C5, BOARD_6-C5",0603,6,1nF 50V X7R,C1588
"BOARD_10-R2, BOARD_13-R2, BOARD_17-R2, BOARD_2-R2, BOARD_21-R2, BOARD_6-R2",0603,6,1k5,C22843
"BOARD_10-U1, BOARD_13-U1, BOARD_17-U1, BOARD_2-U1, BOARD_21-U1, BOARD_6-U1",SOT-23-5,6,LMV321,C7972
"BOARD_14-Q1, BOARD_18-Q1, BOARD_3-Q1, BOARD_7-Q1",SOT-23,4,AO3400A,C20917
"BOARD_14-R2, BOARD_18-R2, BOARD_3-R2, BOARD_7-R2",0603,4,0R,C21189
"BOARD_14-U1, BOARD_18-U1, BOARD_3-U1, BOARD_7-U1",SOT-23-6,4,SRV05-4,C85364
"KIKIT_FID_B_1, KIKIT_FID_B_2, KIKIT_FID_B_3, KIKIT_FID_B_4, KIKIT_FID_T_1, KIKIT_FID_T_2, KIKIT_FID_T_3, KIKIT_FID_T_4",Fiducial,8,Fiducial,
